FOREST CITY REALTY TRUST FCE.A,FCE.A
FORTINET INC FTNT,FTNT
FORTIVE CORPORATION FTV,FTV
FORTUNE BRDS HOME & SEC FBHS,FBHS
FRANKLIN RESOURCES INC BEN,BEN
FREEPORT-MCMORAN INC FCX,FCX
GALLAGHER ARTHUR J & CO AJG,AJG
GAMESTOP CORP GME,GME
GAMING AND LEISURE PPTYS GLPI,GLPI
GAP INC GPS,GPS
EVERSOURCE ENERGY ES,ES
EXELIXIS INC EXEL,EXEL
EXELON CORP EXC,EXC
GENERAL DYNAMICS CORP GD,GD
GENERAL ELECTRIC CO GE,GE
GENERAL MILLS INC GIS,GIS
GENERAL MTRS CO GM,GM
GENESEE & WYOMING INC GWR,GWR
GENPACT LTD G,G
GENTEX CORP GNTX,GNTX
GENUINE PARTS CO GPC,GPC
GGP INC GGP,GGP
GILEAD SCIENCES INC GILD,GILD
GLOBAL PAYMENTS INC GPN,GPN
GODADDY INC GDDY,GDDY
GOLDMAN SACHS GROUP INC GS,GS
GOODYEAR TIRE & RUBBER GT,GT
GRACE W R & CO GRA,GRA
GRACO INC GGG,GGG
GRAHAM HOLDINGS COMPANY GHC,GHC
GRAINGER WW INC GWW,GWW
GRAPHIC PACKAGING HLDG GPK,GPK
GREAT PLAINS ENERGY INC GXP,GXP
GUIDEWIRE SOFTWARE INC GWRE,GWRE
GULFPORT ENERGY CORP GPOR,GPOR
HAIN CELESTIAL GROUP HAIN,HAIN
HALLIBURTON CO HAL,HAL
HANESBRAND INC HBI,HBI
HANOVER INSURANCE GROUP THG,THG
HARLEY DAVIDSON INC HOG,HOG
HARRIS CORP HRS,HRS
HARTFORD FINL SVCS GRP HIG,HIG
HASBRO INC HAS,HAS
HAWAIIAN ELECTRIC INDS HE,HE
HCA HEALTHCARE INC HCA,HCA
HCP INC HCP,HCP
HD SUPPLY HOLDINGS INC HDS,HDS
HEALTHCARE TR AMER INC HTA,HTA
HEICO CORP CL A HEI.A,HEI.A
HEICO CORP COMMON HEI,HEI
HELMERICH & PAYNE INC HP,HP
HENRY JACK & ASSOCIATES JKHY,JKHY
HERBALIFE LTD HLF,HLF
HERSHEY COMPANY HSY,HSY
HESS CORP HES,HES
HEWLETT PACKARD ENT HPE,HPE
HEXCEL CORP HXL,HXL
HIGHWOODS PROPERTIES INC HIW,HIW
GARDNER DENVER HOLDINGS GDI,GDI
GARMIN LTD GRMN,GRMN
GARTNER INC IT,IT
HOLOGIC INC HOLX,HOLX
HOME DEPOT INC HD,HD
HONEYWELL INTERNATIONAL HON,HON
HORMEL FOODS CORP HRL,HRL
HOSPITALITY PPTYS TRUST HPT,HPT
HOST HOTELS & RESORTS HST,HST
HOWARD HUGHES CORP HHC,HHC
HP INC HPQ,HPQ
HUBBELL INC HUBB,HUBB
HUDSON PAC PPTYS INC HPP,HPP
HUMANA INC HUM,HUM
HUNTINGTON BANCSHARES HBAN,HBAN
HUNTINGTON INGALLS IND HII,HII
HUNTSMAN CORP HUN,HUN
HYATT HOTELS CORP H,H
IAC INTERACTIVECORP IAC,IAC
IDEX CORP IEX,IEX
IDEXX LABS INC IDXX,IDXX
IHS MARKIT LTD INFO,INFO
ILLINOIS TOOL WORKS INC ITW,ITW
ILLUMINA INC ILMN,ILMN
INCYTE CORP INCY,INCY
INGERSOLL-RAND PLC IR,IR
INGREDION INC INGR,INGR
INTEL CORP INTC,INTC
INTERACTIVE BROKERS GRP IBKR,IBKR
INTERCEPT PHARMA INC ICPT,ICPT
INTERCONTINENTAL EXCH ICE,ICE
INTERNATIONAL GAME TECH IGT,IGT
INTERNATIONAL PAPER CO IP,IP
INTERPUBLIC GROUP OF COS IPG,IPG
INTL BUSINESS MACHINES IBM,IBM
INTL FLAVORS & FRAGRANCE IFF,IFF
INTREXON CORP XON,XON
INTUIT INTU,INTU
INTUITIVE SURGICAL INC ISRG,ISRG
INVESCO LTD IVZ,IVZ
INVITATION HOMES INC INVH,INVH
IONIS PHARMACEUTICALS IONS,IONS
IPG PHOTONICS CORP IPGP,IPGP
IRON MOUNTAIN INC IRM,IRM
ITT INC ITT,ITT
JABIL INC JBL,JBL
JACOBS ENGINEERING GRP JEC,JEC
JB HUNT TRANS SVCS INC JBHT,JBHT
HILL-ROM HOLDINGS INC HRC,HRC
HILTON GRAND VACATIONS HGV,HGV
HILTON WORLDWIDE HOLDING HLT,HLT
HOLLYFRONTIER CORP HFC,HFC
JPMORGAN CHASE & CO JPM,JPM
JUNIPER NETWORKS INC JNPR,JNPR
JUNO THERAPEUTICS INC JUNO,JUNO
KANSAS CITY SOUTHERN KSU,KSU
KAR AUCTION SERVICES INC KAR,KAR
KATE SPADE & CO KATE,KATE
KELLOGG CO K,K
KEYCORP KEY,KEY
KEYSIGHT TECHNOLOGIES KEYS,KEYS
KILROY REALTY CORP KRC,KRC
KIMBERLY CLARK CORP KMB,KMB
KIMCO REALTY CORP KIM,KIM
KINDER MORGAN INC KMI,KMI
KIRBY CORP KEX,KEX
KLA-TENCOR CORP KLAC,KLAC
KOHLS CORP KSS,KSS
KOSMOS ENERGY LTD KOS,KOS
KROGER CO KR,KR
L BRANDS INC LB,LB
L3 TECHNOLOGIES LLL,LLL
LABORATORY CORP OF AMER LH,LH
LAM RESEARCH CORP LRCX,LRCX
LAMAR ADVERTISING CO LAMR,LAMR
LAMB WESTON HOLDINGS LW,LW
LANDSTAR SYSTEMS INC LSTR,LSTR
LAREDO PETROLEUM INC LPI,LPI
LAS VEGAS SANDS CORP LVS,LVS
LAZARD LTD LAZ,LAZ
LEAR CORP LEA,LEA
LEGG MASON INC LM,LM
LEGGETT & PLATT INC LEG,LEG
LEIDOS HOLDINGS INC LDOS,LDOS
LENNAR CORP CL A LEN,LEN
LENNAR CORP CL B LEN.B,LEN.B
LENNOX INTERNATIONAL INC LII,LII
LEUCADIA NATIONAL CORP LUK,LUK
LEVEL 3 COMMUNICATIONS LVLT,LVLT
LIBERTY BROADBAND CL A LBRDA,LBRDA
LIBERTY BROADBAND CL C LBRDK,LBRDK
LIBERTY EXPEDIA HOLDINGS LEXEA,LEXEA
LIBERTY FORMULA 1 SER A FWONA,FWONA
LIBERTY FORMULA 1 SER C FWONK,FWONK
LIBERTY INTERACTIVE QVC QVCA,QVCA
LIBERTY PROPERTY TRUST LPT,LPT
JETBLUE AIRWAYS CORP JBLU,JBLU
JOHNSON & JOHNSON JNJ,JNJ
JOHNSON CONTROLS INTNL JCI,JCI
JONES LANG LASALLE INC JLL,JLL
LILLY ELI & CO LLY,LLY
LINCOLN ELECTRIC HLDGS LECO,LECO
LINCOLN NATIONAL CORP LNC,LNC
LIONS GATE ENT CLASS A LGF.A,LGF.A
LIONS GATE ENT CLASS B LGF.B,LGF.B
LIVE NATION ENT INC LYV,LYV
LKQ CORP LKQ,LKQ
LOCKHEED MARTIN CORP LMT,LMT
LOEWS CORP L,L
LOGMEIN INC LOGM,LOGM
LOWES COS INC LOW,LOW
LPL FINANCIAL HOLDINGS LPLA,LPLA
LULULEMON ATHLETICA INC LULU,LULU
LYONDELLBASELL INDS LYB,LYB
M & T BANK CORP MTB,MTB
MACERICH CO MAC,MAC
MACQUARIE INFRASTRUCTURE MIC,MIC
MACYS INC M,M
MADISON SQUARE GARDEN CO MSG,MSG
MALLINCKRODT PLC MNK,MNK
MANHATTAN ASSOCS INC MANH,MANH
MANPOWERGROUP MAN,MAN
MARATHON OIL CORP MRO,MRO
MARATHON PETROLEUM CORP MPC,MPC
MARKEL CORP MKL,MKL
MARKETAXESS HOLDINGS INC MKTX,MKTX
MARRIOTT INTL INC MAR,MAR
MARSH & MCLENNAN COS MMC,MMC
MARTIN MARIETTA MTLS MLM,MLM
MARVELL TECHNOLOGY GROUP MRVL,MRVL
MASCO CORP MAS,MAS
MASTERCARD INC MA,MA
MATCH GROUP INC MTCH,MTCH
MATTEL INC MAT,MAT
MAXIM INTEGRATED PRODS MXIM,MXIM
MCCORMICK & CO INC MKC,MKC
MCDONALDS CORP MCD,MCD
MCKESSON CORP MCK,MCK
MDU RESOURCES GROUP INC MDU,MDU
MEDICAL PROPERTIES TRUST MPW,MPW
MEDNAX INC MD,MD
MEDTRONIC PLC MDT,MDT
MERCK & CO INC MRK,MRK
MERCURY GENERAL CORP MCY,MCY
LIBERTY SIRIUSXM SER A LSXMA,LSXMA
LIBERTY SIRIUSXM SER C LSXMK,LSXMK
LIBERTY VENTURES LVNTA,LVNTA
LIFE STORAGE INC LSI,LSI
LIFEPOINT HEALTH INC LPNT,LPNT
MICHAELS COS INC/THE MIK,MIK
MICROCHIP TECHNOLOGY MCHP,MCHP
MICRON TECHNOLOGY INC MU,MU
MICROSEMI CORP MSCC,MSCC
MICROSOFT CORP MSFT,MSFT
MID-AMER APT CMNTYS MAA,MAA
MIDDLEBY CORP MIDD,MIDD
MOHAWK INDUSTRIES INC MHK,MHK
MOLSON COORS BREWING CO TAP,TAP
